VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602030501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Computer_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602030502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602040102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602040201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602040202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602040301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602040302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602040401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602040402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602040501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_ComputerHomeWork_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Using the computer for doing homework?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602040502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602050101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602050102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602050201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602050202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602050301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Wednesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602050302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Thursday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602050401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Thursday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602050402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Friday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602050501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_HomeWork_Friday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Doing homework not on the computer?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602050502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Monday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602060101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Monday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602060102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Tuesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602060201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Tuesday_Minutes,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,minute,,,,,,PhenX,PX150602060202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX150602_Reading_Wednesday_Hours,"Think about a normal school week, and write down how long you spend doing the following activities before and after school each day.  Reading for fun?",DCW_150602.doc,integer,hour,,,,,,PhenX,PX150602060301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
