"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Methol_Price_Promotions","Are there any NON-MENTHOL cigarette price promotions?","DCW_741002.doc","encoded values","","","","","","","","PX741002131300","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Menthol_Price_Promotions","Are there any MENTHOL cigarette price promotions?","DCW_741002.doc","encoded values","","","","","","","","PX741002131400","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cigarillos_Sold","Are any cigarillos, little cigars, or blunts SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002141000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Cigarillos_Sold","Are FLAVORED cigarillos, little cigars, or blunts SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002142000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Mint_Menthol_Wintergreen_Cigarillos_Sold","Are cigarillos, little cigars, or blunts flavored with MINT, MENTHOL, or WINTERGREEN sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002143000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Other_Mint_Menthol_Wintergreen_Cigarillos_Sold","Are cigarillos, little cigars, or blunts with flavors OTHER THAN mint, menthol, or wintergreen sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002144000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Non_Flavored_Cigarillos_Sold","Are NON-FLAVORED cigarillos, little cigars, or blunts sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002145000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Cigarillos_Price_Promotions","Any there ANY cigarillos, little cigars, or blunts price promotions?:","DCW_741002.doc","encoded values","","","","","","","","PX741002146000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Mint_Menthol_Wintergreen_Cigarillos_Price_Promotions","Any price promotions for cigarillos, little cigars, or blunts flavored with mint, menthol, or wintergreen?","DCW_741002.doc","encoded values","","","","","","","","PX741002147000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Other_Mint_Menthol_Wintergreen_Cigarillos_Price_Promotions","Any price promotions for cigarillos, little cigars, or blunts with flavors OTHER THAN mint, menthol, or wintergreen?","DCW_741002.doc","encoded values","","","","","","","","PX741002148000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Non_Flavored_Cigarillos_Price_Promotions","Any price promotions for NON-FLAVORED cigarillos, cigars, or blunts?","DCW_741002.doc","encoded values","","","","","","","","PX741002149000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Ambiguous_Cigarillos_Flavors_Sold","Are any cigarillos, little cigars, or blunts with AMBIGUOUS flavor descriptors sold here? (e.g., Black and Mild \"Jazz, Garcia y Vega \"Blue, Swisher Sweets \"Island Madness)","DCW_741002.doc","encoded values","","","","","","","","PX741002141100","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Flavored_Ambiguous_Cigarillos_Flavors_Sold_Name","Are any cigarillos, little cigars, or blunts with AMBIGUOUS flavor descriptors sold here? (e.g., Black and Mild \"Jazz, Garcia y Vega \"Blue, Swisher Sweets \"Island Madness). If yes, enter flavor name (include brand name E.g., White Owl \"Tropical Twist","DCW_741002.doc","string","","","","","ASK IF 'Are any cigarillos, little cigars, or blunts with AMBIGUOUS flavor descriptors sold here? (e.g., Black and Mild \"Jazz, Garcia y Vega \"Blue, Swisher Sweets \"Island Madness)' = '1'","","","PX741002141200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Single_Cigarillos_Sold","Are any SINGLE cigarillos, little cigars, or blunts sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002141300","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cigarillos_Less_One_Dollar","Are any cigarillos, little cigars, or blunts advertised for less than $1","DCW_741002.doc","encoded values","","","","","","","","PX741002141400","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Cigarillos_Self_Service_Displays","Are any cigarillos, little cigars, or blunts in self-service displays?","DCW_741002.doc","encoded values","","","","","","","","PX741002141500","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Traditional_Cigars_Sold","Are traditional cigars SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002151000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Traditional_Cigars_Mint_Menthol_Wintergreen_Sold","Are traditional cigars flavored with MINT, MENTHOL, or WINTERGREEN sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002152000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Traditional_Cigars_Other_Mint_Menthol_Wintergreen_Sold","Are traditional cigars with flavors OTHER THAN mint, menthol, or wintergreen sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002153000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_Traditional_Cigars_Sold","Are NON-FLAVORED traditional cigars sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002154000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Traditional_Cigars_Self_Service_Displays","Are any traditional cigars in self-service displays?","DCW_741002.doc","encoded values","","","","","","","","PX741002155000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Chew_Sold","Is chew, snuff, dip, or snus SOLD here?","DCW_741002.doc","encoded values","","","","","","","","PX741002161000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Mint_Menthol_Wintergreen_Chew_Sold","Is chew, snuff, dip, or snus flavored with MINT, MENTHOL, or WINTERGREEN sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002162000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Other_Mint_Menthol_Wintergreen_Chew_Sold","Is chew, snuff, dip, or snus with flavors OTHER THAN mint, menthol, or wintergreen sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002163000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_Chew_Sold","Is NON-FLAVORED chew, snuff, dip, or snus sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002164000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_Cigarillos_Cigars_Sold","Are NON-FLAVORED cigarillos, little cigars, or blunts sold here?","DCW_741002.doc","encoded values","","","","","","","","PX741002165000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Mint_Menthol_Wintergreen_Chew_Price_Promotions","Any price promotions for chew, snuff, dip, or snus flavored with MINT, MENTHOL, or WINTERGREEN?","DCW_741002.doc","encoded values","","","","","","","","PX741002166000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Other_Mint_Menthol_Wintergreen_Chew_Price_Promotions","Any price promotions for chew, snuff, dip, or snus with flavors OTHER THAN mint, menthol, or wintergreen?","DCW_741002.doc","encoded values","","","","","","","","PX741002167000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX741002_Standardized_Tobacco_Assessment_For_Retail_Settings_Flavored_Tobacco_Non_Flavored_Chew_Price_Promotions","Any price promotions for NON-FLAVORED chew, snuff, dip or snus?","DCW_741002.doc","encoded values","","","","","","","","PX741002168000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
